feature,gain,split
diff_points,359.52888917922974,25
t2_rest_days,203.90230131149292,20
diff_onmap_avg_player_adr,186.3409390449524,18
t2_onmap_t_wr,125.16899919509888,13
diff_onmap_t_wr,119.41501998901367,12
map_name,115.48597049713135,12
t2_onmap_round_diff,112.77005100250244,9
t2_round_diff,109.9536714553833,11
diff_onmap_ct_wr,104.55045080184937,10
t2_points,103.45422029495239,10
t1_avg_player_kast,100.96022939682007,11
diff_rest_days,96.12751007080078,10
t1_onmap_round_diff,73.87050914764404,6
diff_avg_player_rating,73.30518102645874,8
t1_onmap_avg_player_adr,70.68242025375366,8
t1_t_wr,70.5177493095398,7
t1_rest_days,70.25144910812378,7
diff_onmap_avg_player_rating,69.55904960632324,6
t2_ct_wr,66.46592998504639,6
t1_onmap_avg_player_rating,65.7820405960083,7
t2_onmap_avg_player_adr,61.47933864593506,7
t2_avg_rounds_for,61.18809986114502,7
t2_avg_player_adr,59.701090812683105,5
t1_ct_wr,57.543100357055664,6
t2_onmap_avg_player_rating,56.27052116394043,6
t1_avg_rounds_against,54.12558937072754,6
event_id,51.64979028701782,6
diff_avg_rounds_for,51.60785961151123,6
t2_avg_player_kast,47.79785966873169,5
diff_avg_player_adr,47.23857927322388,5
diff_pistol_wr,47.03445911407471,5
t1_onmap_t_wr,45.10631990432739,5
diff_onmap_round_diff,39.987759590148926,5
diff_ct_wr,39.76210021972656,4
diff_t_wr,36.35333013534546,4
t1_avg_player_adr,35.58471965789795,4
t1_avg_player_rating,35.343590259552,4
t2_t_wr,34.5376501083374,4
t1_onmap_ct_wr,34.50468969345093,4
diff_onmap_win_rate,34.05147933959961,3
event_prize_pool_usd,32.08067083358765,3
map_picked_by,31.814120292663574,3
t1_points,28.83565902709961,3
t2_onmap_ct_wr,27.78892993927002,3
h2h_t1_wr,27.427249908447266,3
t1_pistol_wr,27.190509796142578,3
diff_avg_rounds_against,25.026299476623535,3
t2_avg_rounds_against,23.753469944000244,3
t2_avg_player_rating,23.717900276184082,2
t2_onmap_n,23.514199256896973,2
t2_onmap_win_rate,19.160679817199707,2
t2_pistol_wr,18.895580291748047,2
t1_win_rate,17.61658000946045,2
diff_rank,17.273340225219727,2
event_num_attending,9.147529602050781,1
diff_win_rate,8.85984992980957,1
t1_rank,8.830690383911133,1
diff_round_diff,8.651949882507324,1
t1_avg_rounds_for,7.998239994049072,1
t2_pistol_n,7.544459819793701,1
t2_win_rate,7.519350051879883,1
t1_kast,0.0,0
stars,0.0,0
format,0.0,0
t1_rating,0.0,0
t2_adr,0.0,0
t2_kast,0.0,0
t2_n,0.0,0
t1_onmap_rating,0.0,0
diff_rating,0.0,0
t2_onmap_adr,0.0,0
t2_onmap_kast,0.0,0
t1_onmap_adr,0.0,0
t1_onmap_win_rate,0.0,0
t1_onmap_kast,0.0,0
t1_onmap_n,0.0,0
t2_onmap_rating,0.0,0
t2_rating,0.0,0
t1_n,0.0,0
t1_round_diff,0.0,0
t1_adr,0.0,0
diff_onmap_rating,0.0,0
diff_onmap_kast,0.0,0
diff_onmap_adr,0.0,0
diff_kast,0.0,0
h2h_n,0.0,0
t2_onmap_roster_size_hist,0.0,0
t2_roster_size_hist,0.0,0
t1_roster_size_hist,0.0,0
t1_onmap_roster_size_hist,0.0,0
diff_adr,0.0,0
t2_rank,0.0,0
t2_is_ranked,0.0,0
event_has_prize,0.0,0
event_type,0.0,0
t1_is_ranked,0.0,0
t1_pistol_n,0.0,0
t1_picks,0.0,0
t2_bans,0.0,0
t1_bans,0.0,0
t2_picks,0.0,0
