feature,gain,split
diff_points,3234.3094868659973,140
t1_avg_player_kast,1130.1370015144348,73
diff_rank,875.698429107666,55
diff_avg_player_rating,500.59769916534424,60
t1_onmap_t_wr,392.2092571258545,65
t2_points,390.5138807296753,55
t1_onmap_avg_player_adr,377.70121908187866,61
t1_avg_player_rating,374.44410824775696,44
diff_onmap_ct_wr,360.6340003013611,52
t2_onmap_t_wr,332.79647850990295,50
diff_rest_days,317.1561198234558,50
t1_onmap_avg_player_rating,302.14857149124146,47
t2_avg_rounds_against,291.34475231170654,46
t1_points,290.826308965683,45
diff_onmap_win_rate,284.84213876724243,42
t1_rank,278.79659843444824,29
diff_onmap_avg_player_rating,273.93877029418945,44
t2_onmap_round_diff,268.2257981300354,39
event_prize_pool_usd,267.20770263671875,46
t1_onmap_ct_wr,262.42336082458496,42
diff_onmap_avg_player_adr,261.2057309150696,42
diff_onmap_t_wr,252.16007089614868,40
t1_ct_wr,247.67150783538818,39
t2_onmap_avg_player_rating,242.41701984405518,39
t1_t_wr,240.73324012756348,36
t1_avg_rounds_against,228.90894031524658,35
t2_onmap_avg_player_adr,227.932879447937,38
t2_onmap_ct_wr,219.03363037109375,35
t2_avg_player_kast,213.50895977020264,36
map_name,200.2971911430359,32
t2_avg_player_adr,195.82300996780396,30
t1_pistol_wr,191.60576057434082,28
diff_avg_player_adr,183.44350957870483,27
t1_onmap_round_diff,181.58308935165405,26
t1_round_diff,178.4653820991516,24
diff_pistol_wr,173.64222955703735,27
t1_avg_rounds_for,171.90768027305603,28
diff_onmap_round_diff,171.56223964691162,28
diff_t_wr,171.0318284034729,27
event_id,166.6297607421875,29
t1_rest_days,163.73852109909058,28
t2_t_wr,152.61157941818237,24
diff_ct_wr,151.39331912994385,25
t2_avg_player_rating,143.09296131134033,22
t2_rank,135.26504039764404,21
t2_onmap_n,134.11290097236633,22
t2_rest_days,130.09924960136414,23
diff_avg_rounds_against,126.22015047073364,21
t2_ct_wr,124.69745063781738,21
t2_round_diff,121.61692142486572,19
t2_onmap_win_rate,104.55041933059692,16
t2_pistol_wr,101.62657070159912,18
t1_avg_player_adr,100.54888963699341,17
event_num_attending,97.93607902526855,17
map_picked_by,91.566969871521,13
t2_avg_rounds_for,89.85329127311707,15
diff_avg_rounds_for,87.74731969833374,14
h2h_n,61.574520111083984,10
diff_round_diff,59.395089626312256,10
h2h_t1_wr,48.022260665893555,9
t1_onmap_win_rate,38.69960975646973,7
t1_win_rate,37.52717971801758,6
t2_win_rate,35.286109924316406,6
diff_win_rate,21.495140075683594,4
t1_onmap_n,18.04329013824463,3
t1_pistol_n,13.98360013961792,2
event_type,12.06932020187378,2
t1_onmap_roster_size_hist,11.832940101623535,2
t1_picks,5.452290058135986,1
t1_n,4.924290180206299,1
t2_onmap_adr,0.0,0
t2_onmap_kast,0.0,0
t2_onmap_rating,0.0,0
t1_onmap_adr,0.0,0
t1_onmap_kast,0.0,0
t2_n,0.0,0
t1_onmap_rating,0.0,0
t2_adr,0.0,0
t2_rating,0.0,0
t1_kast,0.0,0
t1_adr,0.0,0
t2_kast,0.0,0
stars,0.0,0
format,0.0,0
t1_rating,0.0,0
diff_rating,0.0,0
t2_onmap_roster_size_hist,0.0,0
t1_roster_size_hist,0.0,0
diff_onmap_kast,0.0,0
diff_onmap_rating,0.0,0
diff_adr,0.0,0
diff_onmap_adr,0.0,0
diff_kast,0.0,0
t2_roster_size_hist,0.0,0
event_has_prize,0.0,0
t1_is_ranked,0.0,0
t2_is_ranked,0.0,0
t2_bans,0.0,0
t2_picks,0.0,0
t1_bans,0.0,0
t2_pistol_n,0.0,0
